CountPrimes,100,1,3258.8
CountPrimes,100,2,4744.6
CountPrimes,100,4,4736
CountPrimes,100,8,10426.2
CountPrimes,100,16,15254
CountPrimes,1000,1,42758
CountPrimes,1000,2,33765.8
CountPrimes,1000,4,46031.4
CountPrimes,1000,8,49337.4
CountPrimes,1000,16,47757.6
CountPrimes,10000,1,874475
CountPrimes,10000,2,543084.4
CountPrimes,10000,4,336287.4
CountPrimes,10000,8,300723
CountPrimes,10000,16,289063.6
CountPrimes,50000,1,7.9056336e+06
CountPrimes,50000,2,4.7384368e+06
CountPrimes,50000,4,3.1599742e+06
CountPrimes,50000,8,1.9340764e+06
CountPrimes,50000,16,1.3871448e+06
CountPrimes,100000,1,1.95649682e+07
CountPrimes,100000,2,1.19769222e+07
CountPrimes,100000,4,7.169359e+06
CountPrimes,100000,8,4.4286504e+06
CountPrimes,100000,16,3.3934628e+06
CountPrimes,1000000,1,4.622890378e+08
CountPrimes,1000000,2,2.875578098e+08
CountPrimes,1000000,4,1.657548596e+08
CountPrimes,1000000,8,1.056779818e+08
CountPrimes,1000000,16,7.22232298e+07
Sum,100,1,962.4
Sum,100,2,9335.8
Sum,100,4,8311.8
Sum,100,8,21357
Sum,100,16,15178.6
Sum,1000,1,14703.8
Sum,1000,2,21098.2
Sum,1000,4,34629.8
Sum,1000,8,23484.2
Sum,1000,16,36995.2
Sum,10000,1,179777
Sum,10000,2,100312.2
Sum,10000,4,117339.2
Sum,10000,8,116337
Sum,10000,16,136362.2
Sum,50000,1,218580.6
Sum,50000,2,367474
Sum,50000,4,442961.2
Sum,50000,8,762896.4
Sum,50000,16,931894.6
Sum,100000,1,603397.4
Sum,100000,2,747156.8
Sum,100000,4,702300.4
Sum,100000,8,682711.8
Sum,100000,16,788351.2
Sum,1000000,1,5.4634216e+06
Sum,1000000,2,7.7660328e+06
Sum,1000000,4,6.489066e+06
Sum,1000000,8,5.8681588e+06
Sum,1000000,16,7.1859806e+06
WordCount,100,1,1.070218e+06
WordCount,100,2,1.2157358e+06
WordCount,100,4,1.0449242e+06
WordCount,100,8,1.1384966e+06
WordCount,100,16,1.1395774e+06
WordCount,1000,1,1.05129464e+07
WordCount,1000,2,6.1913602e+06
WordCount,1000,4,5.2990302e+06
WordCount,1000,8,4.901368e+06
WordCount,1000,16,5.7148158e+06
WordCount,10000,1,7.2751647e+07
WordCount,10000,2,5.22964952e+07
WordCount,10000,4,4.33813058e+07
WordCount,10000,8,4.01871902e+07
WordCount,10000,16,3.79164124e+07
WordCount,50000,1,3.477183486e+08
WordCount,50000,2,2.756172118e+08
WordCount,50000,4,2.303860388e+08
WordCount,50000,8,2.108297762e+08
WordCount,50000,16,1.993624738e+08
WordCount,100000,1,7.079916052e+08
WordCount,100000,2,5.537432428e+08
WordCount,100000,4,4.649486238e+08
WordCount,100000,8,4.375615082e+08
WordCount,100000,16,4.126927588e+08
WordCount,1000000,1,7.5845880746e+09
WordCount,1000000,2,6.0647469026e+09
WordCount,1000000,4,5.1790199744e+09
WordCount,1000000,8,5.0900304818e+09
WordCount,1000000,16,5.0157188336e+09
NormalizeVector,100,1,215842
NormalizeVector,100,2,193726.2
NormalizeVector,100,4,229063.2
NormalizeVector,100,8,198805.2
NormalizeVector,100,16,220242.4
NormalizeVector,1000,1,2.072583e+06
NormalizeVector,1000,2,1.523652e+06
NormalizeVector,1000,4,1.3150702e+06
NormalizeVector,1000,8,1.184355e+06
NormalizeVector,1000,16,1.2178356e+06
NormalizeVector,10000,1,2.18987584e+07
NormalizeVector,10000,2,2.23266358e+07
NormalizeVector,10000,4,1.3641353e+07
NormalizeVector,10000,8,1.23967444e+07
NormalizeVector,10000,16,1.16314722e+07
NormalizeVector,50000,1,1.108765556e+08
NormalizeVector,50000,2,7.84970582e+07
NormalizeVector,50000,4,6.35242406e+07
NormalizeVector,50000,8,5.56037198e+07
NormalizeVector,50000,16,5.52480732e+07
NormalizeVector,100000,1,2.285182656e+08
NormalizeVector,100000,2,1.6232416e+08
NormalizeVector,100000,4,1.247841594e+08
NormalizeVector,100000,8,1.092463134e+08
NormalizeVector,100000,16,1.095228426e+08
NormalizeVector,1000000,1,2.2692159644e+09
NormalizeVector,1000000,2,1.5612498942e+09
NormalizeVector,1000000,4,1.2177748724e+09
NormalizeVector,1000000,8,1.0725646656e+09
NormalizeVector,1000000,16,1.0391245576e+09
